OID,INPUT_FID,NEAR_FID,DISTANCE,id,mapa,N_pto,tipo_polei
119,9,10,22.3606797754,0.0, ,1,agrup_arb
120,9,8,36.0555127549,0.0, ,1,agrup_arb
121,9,7,134.536240471,0.0, ,1,agrup_arb
122,9,0,67.0820393249,0.0, ,1,agrup_arb
123,9,4,94.8683298058,0.0, ,1,agrup_arb
124,9,13,80.0000000016,0.0, ,1,agrup_arb
125,9,6,166.433169772,0.0, ,1,agrup_arb
126,9,1,86.0232526702,0.0, ,1,agrup_arb
127,9,5,152.315462118,0.0, ,1,agrup_arb
128,9,2,100.498756211,0.0, ,1,agrup_arb
129,9,3,120.0,0.0, ,1,agrup_arb
130,10,12,129.999999999,0.0, ,6,agrup_arb
131,10,11,31.6227766009,0.0, ,6,agrup_arb
132,10,9,22.3606797754,0.0, ,6,agrup_arb
133,10,8,31.6227766008,0.0, ,6,agrup_arb
134,10,7,130.384048104,0.0, ,6,agrup_arb
135,10,0,89.4427191003,0.0, ,6,agrup_arb
136,10,4,100.498756211,0.0, ,6,agrup_arb
137,10,13,92.1954445744,0.0, ,6,agrup_arb
138,10,6,165.529453573,0.0, ,6,agrup_arb
139,10,1,106.301458127,0.0, ,6,agrup_arb
140,10,5,155.241746963,0.0, ,6,agrup_arb
141,10,2,114.017542509,0.0, ,6,agrup_arb
142,10,3,131.52946438,0.0, ,6,agrup_arb
143,11,12,108.166538264,0.0, ,5,agrup_arb
144,11,10,31.6227766009,0.0, ,5,agrup_arb
145,11,9,53.851648071,0.0, ,5,agrup_arb
146,11,8,44.7213595489,0.0, ,5,agrup_arb
147,11,7,126.491106407,0.0, ,5,agrup_arb
148,11,0,120.830459736,0.0, ,5,agrup_arb
149,11,4,111.803398875,0.0, ,5,agrup_arb
150,11,13,111.803398876,0.0, ,5,agrup_arb
151,11,6,164.924225026,0.0, ,5,agrup_arb
152,11,1,134.53624047,0.0, ,5,agrup_arb
153,11,5,160.312195419,0.0, ,5,agrup_arb
154,11,2,134.164078649,0.0, ,5,agrup_arb
155,11,3,148.660687473,0.0, ,5,agrup_arb
156,12,11,108.166538264,0.0, ,4,agrup_arb
157,12,10,129.999999999,0.0, ,4,agrup_arb
158,12,9,145.602197786,0.0, ,4,agrup_arb
159,12,8,111.803398875,0.0, ,4,agrup_arb
160,12,7,78.102496761,0.0, ,4,agrup_arb
161,12,0,200.249843945,0.0, ,4,agrup_arb
162,12,4,120.830459737,0.0, ,4,agrup_arb
163,12,13,145.602197788,0.0, ,4,agrup_arb
164,12,6,111.803398877,0.0, ,4,agrup_arb
165,12,1,192.353840617,0.0, ,4,agrup_arb
166,12,5,128.06248475,0.0, ,4,agrup_arb
167,12,2,161.554944215,0.0, ,4,agrup_arb
168,12,3,161.245154967,0.0, ,4,agrup_arb
169,13,12,145.602197788,0.0, ,14,fragto_40
170,13,11,111.803398876,0.0, ,14,fragto_40
171,13,10,92.1954445744,0.0, ,14,fragto_40
172,13,9,80.0000000016,0.0, ,14,fragto_40
173,13,8,67.0820393275,0.0, ,14,fragto_40
174,13,7,92.1954445729,0.0, ,14,fragto_40
175,13,0,78.1024967594,0.0, ,14,fragto_40
176,13,4,31.6227766024,0.0, ,14,fragto_40
177,13,6,108.166538264,0.0, ,14,fragto_40
178,13,1,50.9901951355,0.0, ,14,fragto_40
179,13,5,84.8528137425,0.0, ,14,fragto_40
180,13,2,22.360679773,0.0, ,14,fragto_40
181,13,3,39.9999999989,0.0, ,14,fragto_40
